电影名,评分,评分人数,想看人数,物料播放量,总票房,首周票房,首日票房
我和我的祖国,9.7,1176000 ,578000 ,28330000 ,3170315000,2086937000,290247000
绝杀慕尼黑,9.5,62000 ,21000 ,6510000 ,91815000,19865000,2282000
海蒂和爷爷,9.5,18000 ,17000 ,6920000 ,20932000,10134000,1257000
古田军号,9.5,15000 ,8338 ,9530000 ,58201000,12083000,5922000
尺八·一声一世,9.5,2014 ,5865 ,800000 ,3764000,716000,311000
中国机长,9.4,1587000 ,561000 ,31850000 ,2912384000,1766373000,209282000
攀登者,9.4,632000 ,559000 ,95750000 ,1097581000,730876000,168979000
叶问4：完结篇,9.4,516000 ,295000 ,57570000 ,1181920000,328989000,97763000
银河补习班,9.4,785000 ,222000 ,100000000 ,878288000,357363000,64712000
烈火英雄,9.4,1346000 ,164000 ,19970000 ,1706636000,517459000,122298000
误杀,9.4,558000 ,41000 ,11560000 ,1207025000,203866000,46850000
波西米亚狂想曲,9.4,57000 ,38000 ,7380000 ,99079000,41813000,10318000
航海王：狂热行动,9.3,267000 ,343000 ,8890000 ,204947000,140349000,47028000
千与千寻,9.3,292000 ,247000 ,20370000 ,488281000,192340000,54609000
罗小黑战记,9.3,285000 ,167000 ,29620000 ,315106000,84159000,45552000
海上钢琴师,9.3,76000 ,62000 ,8890000 ,143760000,63507000,14614000
雪人奇缘,9.3,63000 ,59000 ,34370000 ,139647000,83270000,21144000
老师·好,9.3,243000 ,48000 ,10160000 ,355660000,80770000,16918000
游戏人生 零,9.3,43000 ,39000 ,1760000 ,13950000,9912000,5021000
坂本龙一：终曲,9.3,3545 ,8805 ,3150000 ,5022000,2633000,528000
一个母亲的复仇,9.2,82000 ,52000 ,3110000 ,112942000,39804000,10262000
无所不能,9.2,34000 ,16000 ,3240000 ,35436000,22207000,3067000
卡拉斯：为爱而声,9.2,550 ,397 ,60000 ,840000,264000,77000
复仇者联盟4：终局之战,9.1,1666000 ,1850000 ,130000000 ,4250130000,2232837000,537741000
大黄蜂,9.1,640000 ,170000 ,92740000 ,1149727000,405599000,111020000
熊出没·原始时代,9.1,349000 ,92000 ,90170000 ,717360000,424951000,74071000
我的英雄学院：两位英雄,9.1,51000 ,89000 ,4580000 ,38765000,31743000,10530000
小Q,9.1,89000 ,84000 ,12040000 ,113167000,57175000,17291000
玩具总动员4,9.1,63000 ,68000 ,15010000 ,200733000,91428000,18078000
龙珠超：布罗利,9.1,43000 ,67000 ,10530000 ,31648000,21173000,6598000
港珠澳大桥,9.1,5000 ,39000 ,1170000 ,7552000,1067000,431000
德鲁大叔,9.1,19000 ,32000 ,510000 ,12097000,7047000,2468000
触不可及,9.1,14000 ,25000 ,840000 ,23936000,15445000,4996000
“大”人物,9.1,249000 ,25000 ,4460000 ,380952000,125397000,14801000
决胜时刻,9.1,24000 ,21000 ,83340000 ,124412000,47320000,14411000
调音师,9.1,163000 ,15000 ,36940000 ,325210000,91339000,7212000
进京城,9.1,11000 ,13000 ,2720000 ,14682000,3493000,1861000
音乐家,9.1,3843 ,4635 ,1710000 ,4980000,631000,311000
大河唱,9.1,952 ,1268 ,160000 ,2527000,1348000,339000
蜘蛛侠：英雄远征,9,688000 ,502000 ,63810000 ,1417691000,677364000,225531000
天气之子,9,390000 ,387000 ,12390000 ,288714000,156379000,46790000
使徒行者2：谍影行动,9,400000 ,368000 ,9360000 ,702166000,432917000,174811000
扫毒2天地对决,9,684000 ,321000 ,45500000 ,1312874000,438510000,134565000
夏目友人帐,9,136000 ,234000 ,11160000 ,115267000,84206000,19497000
沉睡魔咒2,9,211000 ,233000 ,8560000 ,346144000,161233000,36594000
驯龙高手3,9,152000 ,200000 ,40300000 ,367960000,219231000,55698000
阿丽塔：战斗天使,9,418000 ,172000 ,41970000 ,896925000,436322000,126145000
反贪风暴4,9,392000 ,161000 ,8450000 ,799041000,354771000,79688000
朝花夕誓-于离别之朝束起约定之花,9,32000 ,76000 ,12110000 ,17245000,10736000,3578000
命运之夜——天之杯II ：迷失之蝶,9,62000 ,63000 ,8790000 ,29696000,22322000,10956000
阿拉丁,9,143000 ,48000 ,14880000 ,368169000,129518000,28142000
决战中途岛,9,129000 ,35000 ,31030000 ,294181000,111480000,29487000
半个喜剧,9,89000 ,35000 ,21430000 ,188395000,46896000,12492000
一条狗的回家路,9,26000 ,25000 ,9880000 ,36447000,19920000,7156000
天使陷落,9,27000 ,18000 ,1890000 ,66939000,42384000,11760000
四个春天,9,7862 ,8089 ,3670000 ,11470000,3136000,712000
天上再见,9,4348 ,7248 ,420000 ,2605000,1163000,205000
宠爱,8.9,309000 ,295000 ,30180000 ,683797000,437119000,172302000
冰雪奇缘2,8.9,320000 ,204000 ,27780000 ,860721000,375611000,74068000
犯罪现场,8.9,116000 ,111000 ,18080000 ,255014000,106588000,53145000
爱宠大机密2,8.9,78000 ,105000 ,59170000 ,154236000,71879000,18405000
催眠·裁决,8.9,54000 ,97000 ,21010000 ,98324000,54859000,20031000
愤怒的小鸟2,8.9,73000 ,48000 ,27700000 ,140461000,65487000,20023000
小飞象,8.9,56000 ,42000 ,10440000 ,147718000,72385000,12898000
今夜在浪漫剧场,8.9,12000 ,29000 ,2560000 ,12315000,10007000,6561000
骡子,8.9,6284 ,15000 ,660000 ,10801000,6992000,857000
钢铁飞龙之奥特曼崛起,8.9,25000 ,13000 ,13830000 ,44654000,11615000,3247000
养家之人,8.9,4517 ,12000 ,9770000 ,6384000,3923000,1383000
祈祷落幕时,8.9,47000 ,11000 ,890000 ,67644000,29497000,8127000
小羊肖恩2：末日农场,8.9,6206 ,9336 ,3130000 ,17278000,9380000,5463000
为国而歌,8.9,6329 ,8859 ,330000 ,8024000,468000,324000
巧虎大飞船历险记,8.9,6035 ,5535 ,1030000 ,23892000,14474000,9951000
当我们海阔天空,8.9,4376 ,3949 ,100000 ,2067000,1646000,912000
真爱百分百,8.9,936 ,3055 ,860000 ,1090000,802000,295000
飞驰人生,8.8,838000 ,382000 ,130000000 ,1728209000,1053867000,321949000
狮子王,8.8,329000 ,192000 ,43320000 ,833987000,375421000,96991000
五月天人生无限公司,8.8,47000 ,57000 ,2980000 ,50221000,30231000,10317000
地久天长,8.8,38000 ,41000 ,15060000 ,45228000,24550000,6625000
受益人,8.8,91000 ,36000 ,31230000 ,219254000,102852000,28209000
利刃出鞘,8.8,70000 ,32000 ,6080000 ,200292000,95402000,19236000
唐顿庄园,8.8,10000 ,27000 ,12820000 ,22606000,11705000,3010000
尼斯大冒险,8.8,1460 ,17000 ,330000 ,4589000,2835000,1572000
邻座的怪同学,8.8,5166 ,15000 ,240000 ,2365000,1637000,571000
企鹅公路,8.8,5201 ,12000 ,4650000 ,3345000,2416000,958000
巴比龙,8.8,1036 ,5454 ,90000 ,1374000,1054000,693000
二凤,8.8,2142 ,5234 ,1270000 ,640000,434000,219000
神奇乐园历险记,8.8,15000 ,4779 ,4460000 ,47709000,22334000,2549000
欢迎来北方II,8.8,786 ,2599 ,120000 ,959000,653000,350000
太阳升起的时刻,8.8,1144 ,934 ,70000 ,12424000,2690000,1752000
惊奇队长,8.7,418000 ,433000 ,33350000 ,1035165000,598261000,215432000
全职高手之巅峰荣耀,8.7,161000 ,274000 ,17920000 ,85603000,65394000,34873000
小小的愿望,8.7,203000 ,241000 ,34770000 ,286188000,155797000,60689000
名侦探柯南：绀青之拳,8.7,238000 ,200000 ,21480000 ,231996000,161440000,73858000
最好的我们,8.7,304000 ,123000 ,30030000 ,417536000,177258000,25198000
我想吃掉你的胰脏,8.7,43000 ,62000 ,4490000 ,23904000,13614000,5740000
哆啦A梦：大雄的月球探险记,8.7,57000 ,60000 ,4640000 ,131416000,91723000,68414000
机动战士高达NT,8.7,11000 ,26000 ,1380000 ,8708000,6696000,3194000
赛尔号大电影7：疯狂机器城,8.7,20000 ,26000 ,2110000 ,30459000,15912000,5455000
女王的柯基,8.7,12000 ,24000 ,5150000 ,15366000,12040000,3526000
海市蜃楼,8.7,58000 ,23000 ,7730000 ,110884000,65515000,5349000
亲密旅行,8.7,6522 ,21000 ,1290000 ,3911000,2618000,1786000
22年后的自白,8.7,5461 ,15000 ,1680000 ,5346000,3353000,1211000
徒手攀岩,8.7,14000 ,13000 ,11640000 ,36413000,19754000,6925000
潜艇总动员：外星宝贝计划,8.7,7616 ,9052 ,2840000 ,23986000,17061000,12781000
三傻闹地球,8.7,2845 ,8357 ,670000 ,4881000,4029000,2375000
他们已不再变老,8.7,2671 ,7609 ,2000000 ,3342000,2487000,493000
