0,1,2,3,4,5,6,7,8,9,10,11
17,66.19444444,548,1302.327116,45,163,181,20,34,9,13,128
8,68.38888889,152,124.2696628,43,38,0,12,0,12,14,76
23,65.875,679,1014.043585,60,163,214,64,51,17,13,157
1,75,3,0.371233333,3,0,0,0,0,0,1,2
35,65.97222222,756,853.3259153,72,163,215,110,46,30,20,172
1,75,9,8.19198,5,0,0,0,0,0,1,8
30,65.9516129,655,958.3017823,62,163,182,83,29,22,20,156
30,65.91935484,764,887.6892114,70,163,214,110,63,30,20,164
18,65.71052632,126,64.329336,25,1,1,46,12,13,0,53
28,65.75862069,545,344.4708323,65,1,215,90,45,22,20,152
29,65.81666667,395,265.2445304,56,1,138,63,28,22,20,123
26,65.85185185,378,289.6770412,51,1,138,63,28,22,14,112
29,65.96666667,516,1006.912563,52,163,105,66,29,15,20,118
20,65.76190476,170,54.08976571,35,1,2,46,12,22,14,73
18,65.71052632,158,58.43384839,31,1,1,46,12,22,14,62
30,65.77419355,539,349.0319828,64,1,215,90,45,22,20,146
30,65.82258065,388,274.3234556,54,1,138,63,28,22,20,116
16,65.67647059,141,60.35422143,28,1,1,46,12,13,7,61
30,65.9516129,529,970.3573981,54,163,105,66,29,15,20,131
17,65.69444444,151,59.05343333,30,1,1,46,12,15,14,62
16,65.67647059,150,61.02105862,29,1,1,46,12,15,14,61
26,65.85185185,335,300.2181298,47,1,138,46,12,22,14,102
26,65.85185185,337,300.6420277,47,1,138,46,12,22,14,104
15,67.25,186,72.11583333,48,0,1,23,29,11,10,112
21,66.15909091,450,1236.256424,42,163,103,20,29,20,14,101
16,65.67647059,112,38.98503462,26,1,1,18,12,15,14,51
28,65.84482759,370,283.4179765,51,1,137,63,12,22,20,115
36,65.95945946,754,830.7727784,74,164,215,110,46,22,20,177
17,66.19444444,546,1302.327116,45,163,181,20,34,9,13,126
13,67.42857143,327,82.8843241,83,0,50,17,30,43,0,187
10,67.31818182,255,79.29734,70,1,44,19,18,9,8,156
28,65.89655172,389,279.8739075,53,1,138,63,28,22,20,117
31,65.859375,734,832.3270685,73,163,215,83,46,22,20,185
14,67.36666667,333,80.92394535,86,0,50,18,30,43,0,192
11,67.33333333,248,80.59305217,69,1,45,19,18,9,8,148
28,65.82758621,393,275.0600037,54,1,138,63,28,22,20,121
11,68.70833333,63,13.28917727,22,0,0,17,9,4,6,27
1,75,1,0.3693,1,0,0,0,1,0,0,0
7,66.625,73,21.56406667,27,0,0,0,9,4,7,53
11,67.45833333,391,113.2330654,78,0,54,35,27,53,29,193
15,65.625,351,121.7035556,81,0,52,78,22,25,31,143
5,66.83333333,135,40.20141304,23,0,0,20,18,43,13,41
6,66.57142857,286,101.1963233,30,65,70,44,20,72,0,15
10,67.72727273,279,69.54240156,64,0,26,0,12,47,19,175
17,65.66666667,333,123.042018,89,0,53,43,36,25,36,140
4,66.7,112,34.06195714,42,0,18,0,8,25,18,43
7,67.4375,357,125.2564424,33,65,127,29,42,53,22,19
13,66.89285714,393,126.054092,75,0,76,35,12,55,29,186
8,67.16666667,210,53.44357105,38,0,1,20,30,52,32,75
1,70,48,15.48638182,11,0,5,9,13,15,1,5
18,66.07894737,409,130.7319954,87,0,53,78,36,29,31,182
15,65.625,361,120.797812,83,0,52,78,31,25,31,144
0,70,37,31.04943333,6,0,29,4,0,0,2,2
9,67.3,93,19.68032647,34,0,0,0,14,12,14,53
5,66.83333333,130,42.89092381,21,0,0,20,18,43,13,36
2,70.5,60,30.1935375,8,0,18,13,10,15,0,4
17,66,508,898.7076849,53,163,112,57,17,8,24,127
5,72.25,73,35.54867,20,0,0,0,9,11,4,49
7,65.875,328,159.9802403,62,0,51,51,31,44,20,131
19,66.05,432,123.3457916,95,0,53,78,36,36,31,198
17,66.05555556,372,119.9997452,84,0,51,78,22,25,31,165
11,67.66666667,272,71.7943875,64,0,27,0,12,47,19,167
1,75,1,0.3693,1,0,0,0,1,0,0,0
2,70.5,39,32.29528,5,0,18,0,10,8,0,3
7,67,352,112.9281943,35,65,127,44,20,80,0,16
8,67.88888889,222,56.73652941,34,0,58,20,29,43,22,50
16,65.64705882,305,109.8247337,89,0,52,43,23,15,26,146
17,66.05555556,367,131.6849506,77,0,51,78,22,36,31,149
5,66.83333333,209,67.75328929,28,0,57,20,29,43,22,38
11,66.625,192,84.19620492,61,26,17,31,14,17,29,58
5,67.16666667,275,118.5333583,24,64,69,53,26,57,0,6
9,68.15,183,80.72564468,47,0,20,23,13,11,8,108
5,66.83333333,160,50.373032,25,0,1,20,29,43,31,36
11,67.66666667,282,75.80529231,78,1,42,20,15,11,18,175
11,67.45833333,400,107.6482357,84,0,54,51,28,43,19,205
5,68.5,88,29.47087143,28,0,0,12,0,12,5,59
8,68.33333333,300,105.9827241,29,65,69,44,30,80,0,12
11,66.625,192,84.19620492,61,26,17,31,14,17,29,58
4,70.2,30,13.82702857,14,0,0,0,0,4,6,20
17,65.66666667,392,162.5412259,85,0,78,78,36,36,31,133
10,68.59090909,49,14.03524444,18,0,0,11,9,4,6,19
11,67.66666667,272,71.7943875,64,0,27,0,12,47,19,167
9,66.65,244,84.10757949,78,0,28,13,23,27,35,118
15,65.59375,291,116.5384663,83,0,52,43,23,15,26,132
12,66.19230769,151,109.3296756,41,27,18,24,11,23,14,34
7,66.125,150,33.28746207,58,0,0,21,15,17,31,66
12,66.57692308,192,83.9350459,61,26,17,31,14,21,23,60
4,66.7,100,39.66481429,35,0,18,0,8,22,16,36
15,66.59375,168,93.36363,50,27,18,24,16,23,20,40
6,68.28571429,177,169.4992,49,38,26,1,0,12,14,86
16,65.64705882,398,147.6260484,93,0,79,78,36,25,31,149
9,67.3,76,19.64795667,30,0,0,0,9,8,10,49
10,66.86363636,157,105.9126714,42,27,18,16,22,23,12,39
15,66.59375,188,97.38096111,54,27,18,37,16,23,20,47
9,66.45,130,48.04434138,29,0,1,40,20,8,18,43
10,67.54545455,83,19.65683226,31,0,0,0,14,12,10,47
10,66.86363636,151,110.21215,40,27,18,16,22,23,12,33
10,66.86363636,144,118.0688514,37,27,18,16,22,23,12,26
12,66.57692308,192,83.9350459,61,26,17,31,14,21,23,60
9,65.85,321,164.8933556,63,0,52,66,43,29,28,103
10,67.54545455,101,19.05771714,35,0,0,11,14,12,10,54
6,69.07142857,108,33.09593636,33,0,0,12,11,12,5,68
7,66.625,82,19.6729697,33,0,0,0,9,0,7,66
17,66.11111111,348,211.5430708,48,0,111,85,17,15,31,89
11,67.16666667,150,113.0357359,39,27,18,16,22,23,12,32
14,67.73333333,384,85.65626596,94,1,50,18,30,43,19,223
7,69,97,26.86216061,33,0,0,12,0,12,9,64
15,66.625,173,91.40530588,51,27,18,24,16,23,14,51
22,65.93478261,694,937.9673141,64,163,213,90,33,24,31,140
5,68.5,147,149.1617028,36,38,0,19,0,21,9,60
6,67.35714286,63,24.26256842,19,0,1,13,11,0,0,38
20,66.02380952,454,415.5555569,51,0,213,72,17,15,31,106
16,65.64705882,299,109.0832341,88,0,52,43,23,15,26,140
13,66.5,124,45.25672963,27,0,1,40,17,8,18,40
9,66.3,136,113.0094784,37,27,18,16,11,23,12,29
9,68.7,64,22.66113636,22,0,0,0,9,8,8,39
10,67.54545455,101,19.05771714,35,0,0,11,14,12,10,54
10,66.36363636,133,48.66237931,29,0,1,40,20,8,18,46
21,66.04545455,516,887.7543185,54,163,111,44,33,8,24,133
19,66.05,466,403.8573736,53,0,213,90,17,15,31,100
7,67,291,104.6168862,29,65,69,44,20,80,0,13
13,66.14285714,311,219.9862884,43,0,111,57,17,8,24,94
21,66.02272727,515,882.0720019,54,163,111,57,17,15,24,128
30,65.77419355,539,349.0319828,64,1,215,90,45,22,20,146
11,66.5,183,42.70113881,67,0,18,28,20,18,32,67
1,75,42,15.1885,4,17,23,0,0,0,2,0
28,66.10344828,754,843.4007625,88,139,275,34,66,1,21,218
39,65.45,982,775.4739018,110,139,276,144,65,39,14,305
